word,words_total_appear_in_both_group,words_total_appear_in_group_real,percet_strong_word_in_group_real,words_total_appear_in_group_fake,percet_strong_word_in_group_fake
previdenciario,14,4,28.57142857142857,10,71.42857142857143
probolsonaro,14,4,28.57142857142857,10,71.42857142857143
quantico,11,1,9.090909090909092,10,90.90909091
recrutar,13,3,23.076923076923077,10,76.92307692307693
sarney,12,2,16.666666666666664,10,83.33333333333334
senna,12,2,16.666666666666664,10,83.33333333333334
sm102,10,0,0,10,100
solei,14,2,14.285714285714285,10,71.42857142857143
soleimani,12,2,16.666666666666664,10,83.33333333333334
sufocar,14,4,28.57142857142857,10,71.42857142857143
tatuagem,12,2,16.666666666666664,10,83.33333333333334
telhar,14,3,21.428571428571427,10,71.42857142857143
toy,14,2,14.285714285714285,10,71.42857142857143
toyota,12,2,16.666666666666664,10,83.33333333333334
transamazonica,10,0,0,10,100
traqueia,11,1,9.090909090909092,10,90.90909091
tremer,14,4,28.57142857142857,10,71.42857142857143
ultimar,13,3,23.076923076923077,10,76.92307692307693
veia,12,2,16.666666666666664,10,83.33333333333334
vibracao,13,3,23.076923076923077,10,76.92307692307693
adivinhar,14,3,21.428571428571427,11,78.57142857142857
agatha,12,1,8.333333333333332,11,91.66666666666666
alcalino,11,0,0,11,100
algemar,15,4,26.666666666666668,11,73.33333333333333
amantar,12,1,8.333333333333332,11,91.66666666666666
aspirina,11,0,0,11,100
autismo,12,1,8.333333333333332,11,91.66666666666666
bolivariana,12,1,8.333333333333332,11,91.66666666666666
cadastres,11,0,0,11,100
carbonico,11,0,0,11,100
chapeu,14,3,21.428571428571427,11,78.57142857142857
circulo,15,1,6.666666666666667,11,73.33333333333333
colorir,15,4,26.666666666666668,11,73.33333333333333
comparsa,11,0,0,11,100
crematorio,14,3,21.428571428571427,11,78.57142857142857
dutra,15,4,26.666666666666668,11,73.33333333333333
editora,15,3,20,11,73.33333333333333
editorar,14,3,21.428571428571427,11,78.57142857142857
escovar,11,0,0,11,100
expulso,12,1,8.333333333333332,11,91.66666666666666
ficticio,14,3,21.428571428571427,11,78.57142857142857
filminho,11,0,0,11,100
fotografar,12,1,8.333333333333332,11,91.66666666666666
glandula,13,2,15.384615384615385,11,84.61538461538461
id2020,11,0,0,11,100
injetado,15,4,26.666666666666668,11,73.33333333333333
inspiracao,15,4,26.666666666666668,11,73.33333333333333
kamala,14,3,21.428571428571427,11,78.57142857142857
linguica,11,0,0,11,100
mangueira,12,1,8.333333333333332,11,91.66666666666666
marcola,11,0,0,11,100
medium,11,0,0,11,100
microonda,12,1,8.333333333333332,11,91.66666666666666
moinho,11,0,0,11,100
paraisopoli,13,2,15.384615384615385,11,84.61538461538461
patrocinio,14,3,21.428571428571427,11,78.57142857142857
pescoc,15,3,20,11,73.33333333333333
pescoco,14,3,21.428571428571427,11,78.57142857142857
psicopata,13,2,15.384615384615385,11,84.61538461538461
riachuelo,11,0,0,11,100
sabotagem,14,3,21.428571428571427,11,78.57142857142857
satanico,11,0,0,11,100
sessenta,11,0,0,11,100
spray,15,4,26.666666666666668,11,73.33333333333333
suzan,15,0,0,11,73.33333333333333
suzano,11,0,0,11,100
toxina,11,0,0,11,100
tunel,12,1,8.333333333333332,11,91.66666666666666
vibrar,14,3,21.428571428571427,11,78.57142857142857
xingar,15,4,26.666666666666668,11,73.33333333333333
abacaxi,12,0,0,12,100
africanar,15,3,20,12,80
afundar,12,0,0,12,100
armacao,14,2,14.285714285714285,12,85.71428571428571
armadilhar,14,2,14.285714285714285,12,85.71428571428571
assuncao,13,1,7.6923076923076925,12,92.30769231
boneco,12,0,0,12,100
cachaca,15,3,20,12,80
capitalismo,13,1,7.6923076923076925,12,92.30769231
ceasa,12,0,0,12,100
centavo,12,0,0,12,100
clonar,15,3,20,12,80
colombiano,17,5,29.411764705882355,12,70.58823529411765
conosco,16,4,25,12,75
crent,13,1,7.6923076923076925,12,92.30769231
creo,13,0,0,12,92.30769231
creolina,12,0,0,12,100
espantar,14,2,14.285714285714285,12,85.71428571428571
estrangeirar,16,4,25,12,75
evangelho,15,3,20,12,80
exterminar,13,1,7.6923076923076925,12,92.30769231
fardar,14,2,14.285714285714285,12,85.71428571428571
guerrilheiro,16,1,6.25,12,75
hipoxia,13,1,7.6923076923076925,12,92.30769231
histeria,16,4,25,12,75
hospedar,13,1,7.6923076923076925,12,92.30769231
imitir,13,1,7.6923076923076925,12,92.30769231
lascar,12,0,0,12,100
legalizar,14,2,14.285714285714285,12,85.71428571428571
madagascar,12,0,0,12,100
mtst,15,3,20,12,80
pendurar,15,3,20,12,80
pingar,13,0,0,12,92.30769231
qdo,13,0,0,12,92.30769231
reprimir,17,1,5.882352941,12,70.58823529411765
smartmat,12,0,0,12,100
superfaturamento,16,4,25,12,75
surfista,14,2,14.285714285714285,12,85.71428571428571
viralizacao,13,1,7.6923076923076925,12,92.30769231
agradecimento,18,5,27.77777777777778,13,72.22222222222221
ajudant,14,1,7.142857142857142,13,92.85714285714286
br163,13,0,0,13,100
burro,18,5,27.77777777777778,13,72.22222222222221
capitolio,15,2,13.333333333333334,13,86.66666666666667
checagen,18,5,27.77777777777778,13,72.22222222222221
clinton,17,4,23.52941176470588,13,76.47058823529412
continencia,13,0,0,13,100
cremar,15,2,13.333333333333334,13,86.66666666666667
criatura,16,3,18.75,13,81.25
crowd,15,1,6.666666666666667,13,86.66666666666667
crowdtangl,13,0,0,13,100
defeito,16,3,18.75,13,81.25
diamant,13,0,0,13,100
dta,14,1,7.142857142857142,13,92.85714285714286
embraer,17,4,23.52941176470588,13,76.47058823529412
estevar,15,2,13.333333333333334,13,86.66666666666667
estourar,15,2,13.333333333333334,13,86.66666666666667
gentileza,17,4,23.52941176470588,13,76.47058823529412
guaido,15,2,13.333333333333334,13,86.66666666666667
guevara,14,1,7.142857142857142,13,92.85714285714286
ilustracao,17,4,23.52941176470588,13,76.47058823529412
insolacao,13,0,0,13,100
intimo,17,4,23.52941176470588,13,76.47058823529412
maju,14,0,0,13,92.85714285714286
maldad,14,1,7.142857142857142,13,92.85714285714286
mamata,13,0,0,13,100
paragrafo,16,3,18.75,13,81.25
porchat,14,1,7.142857142857142,13,92.85714285714286
rumor,18,5,27.77777777777778,13,72.22222222222221
tramar,18,1,5.555555555555555,13,72.22222222222221
vassourar,14,1,7.142857142857142,13,92.85714285714286
vestimenta,14,1,7.142857142857142,13,92.85714285714286
apresses,14,0,0,14,100
boneca,15,1,6.666666666666667,14,93.33333333333333
bostar,14,0,0,14,100
captacao,17,3,17.647058823529413,14,82.35294117647058
consertar,17,3,17.647058823529413,14,82.35294117647058
desconfiar,20,6,30,14,70
eiffel,20,6,30,14,70
escada,19,4,21.052631578947366,14,73.68421052631578
escoltar,16,2,12.5,14,87.5
espelhar,17,3,17.647058823529413,14,82.35294117647058
espirrar,20,6,30,14,70
estragar,20,6,30,14,70
estuprador,14,0,0,14,100
implantacao,19,5,26.31578947368421,14,73.68421052631578
leticia,19,5,26.31578947368421,14,73.68421052631578
literalment,17,3,17.647058823529413,14,82.35294117647058
lobisomem,15,0,0,14,93.33333333333333
louco,19,5,26.31578947368421,14,73.68421052631578
louvar,17,3,17.647058823529413,14,82.35294117647058
megasena,14,0,0,14,100
mexicano,19,5,26.31578947368421,14,73.68421052631578
milagroso,16,2,12.5,14,87.5
minerio,16,2,12.5,14,87.5
motoqueiro,14,0,0,14,100
odiar,19,2,10.526315789473683,14,73.68421052631578
pescar,17,3,17.647058823529413,14,82.35294117647058
politicar,16,2,12.5,14,87.5
raiar,19,5,26.31578947368421,14,73.68421052631578
raoni,19,4,21.052631578947366,14,73.68421052631578
samba,20,5,25,14,70
sambar,19,5,26.31578947368421,14,73.68421052631578
simpson,15,1,6.666666666666667,14,93.33333333333333
simulacao,19,4,21.052631578947366,14,73.68421052631578
stanford,18,4,22.22222222222222,14,77.77777777777779
taliba,16,0,0,14,87.5
tiffani,14,0,0,14,100
urgentement,18,4,22.22222222222222,14,77.77777777777779
zombar,15,1,6.666666666666667,14,93.33333333333333
desmascarar,17,2,11.76470588235294,15,88.23529411764706
esfaquear,17,2,11.76470588235294,15,88.23529411764706
esquerdalha,15,0,0,15,100
estupido,16,1,6.25,15,93.75
forjar,17,2,11.76470588235294,15,88.23529411764706
honestar,16,1,6.25,15,93.75
jornalistico,19,4,21.052631578947366,15,78.94736842105263
kevin,18,3,16.666666666666664,15,83.33333333333334
leitao,19,4,21.052631578947366,15,78.94736842105263
meningit,18,3,16.666666666666664,15,83.33333333333334
porcaria,17,2,11.76470588235294,15,88.23529411764706
profecia,16,1,6.25,15,93.75
