word,words_total_appear_in_both_group,words_total_appear_in_group_real,percet_strong_word_in_group_real,words_total_appear_in_group_fake,percet_strong_word_in_group_fake
antonietto,1,1,100,0,0
antonio,143,101,70.62937062937063,1,0.6993006993006993
antonov124,1,1,100,0,0
antropologia,1,1,100,0,0
antun,4,4,100,0,0
anualizado,1,1,100,0,0
anuencia,4,3,75,1,25
anuir,8,7,87.5,1,12.5
anulada,1,1,100,0,0
anunciada,4,4,100,0,0
anunciado,5,5,100,0,0
anunciant,4,3,75,1,25
anunciaram,5,5,100,0,0
anuncio,179,136,75.97765363128491,43,24.022346368715084
anup,1,1,100,0,0
anvisa,380,299,78.68421053,1,0.2631578947368421
anyon,2,2,100,0,0
aoauto,1,1,100,0,0
aoki,1,1,100,0,0
apadrinhamento,1,1,100,0,0
apadrinhar,5,5,100,0,0
apagao,22,17,77.27272727272727,5,22.727272727272727
apalpar,2,2,100,0,0
aparaceu,1,1,100,0,0
aparar,2,2,100,0,0
aparecem,2,2,100,0,0
apareceram,1,1,100,0,0
aparecerao,1,1,100,0,0
apareceu,3,3,100,0,0
apartheid,1,1,100,0,0
apegous,1,1,100,0,0
apelidada,1,1,100,0,0
apelidado,1,1,100,0,0
apelido,6,6,100,0,0
apelo,9,7,77.77777777777779,1,11.11111111111111
apendic,1,1,100,0,0
apensada,2,2,100,0,0
apensado,1,1,100,0,0
apensamento,1,1,100,0,0
apeoesp,3,3,100,0,0
apequenar,1,1,100,0,0
aperfeicoalo,1,1,100,0,0
aperfeicoar,4,3,75,1,25
aperto,2,2,100,0,0
apertu,1,1,100,0,0
apexbrasil,1,1,100,0,0
apib,2,2,100,0,0
apitar,70,58,82.85714285714286,2,2.857142857142857
aplacar,1,1,100,0,0
aplainada,1,1,100,0,0
aplicacao,158,123,77.84810126582279,35,22.151898734177212
aplicaco,3,3,100,0,0
aplicada,16,16,100,0,0
aplicador,1,1,100,0,0
apneia,1,1,100,0,0
apocalitico,1,1,100,0,0
apoderarems,1,1,100,0,0
apoem,1,1,100,0,0
apoiala,1,1,100,0,0
apoiam,1,1,100,0,0
apoiando,1,1,100,0,0
apoiaria,1,1,100,0,0
apoiass,1,1,100,0,0
apoio,33,30,90.90909091,1,3.0303030303030303
