word,words_total_appear_in_group,words_total_in_group_without_stop_words,words_total_in_group_with_stop_words
aldighieri,2,477949,602859
aldir,6,477949,602859
aldo,1,477949,602859
aldou,1,477949,602859
aldrin,3,477949,602859
aleatoriament,3,477949,602859
aleatorio,5,477949,602859
alefi,1,477949,602859
aleg,2,477949,602859
alega,3,477949,602859
alegacao,26,477949,602859
alegaco,2,477949,602859
alegando,2,477949,602859
alegar,93,477949,602859
alegas,3,477949,602859
alegr,3,477949,602859
alegrar,44,477949,602859
alegret,1,477949,602859
alegria,22,477949,602859
aleijar,1,477949,602859
aleitamento,4,477949,602859
aleixo,1,477949,602859
alejandro,1,477949,602859
aleksand,1,477949,602859
aleluia,1,477949,602859
alem,62,477949,602859
alemanha,114,477949,602859
alemao,70,477949,602859
alencar,18,477949,602859
alentar,1,477949,602859
alergeno,1,477949,602859
alergia,19,477949,602859
alergica,3,477949,602859
alergico,17,477949,602859
alergista,2,477949,602859
alerj,42,477949,602859
alert,15,477949,602859
alerta,11,477949,602859
alertam,2,477949,602859
alertando,3,477949,602859
alertar,265,477949,602859
alertaram,2,477949,602859
alesc,1,477949,602859
alesp,9,477949,602859
alessand,1,477949,602859
alessandra,3,477949,602859
alessandro,17,477949,602859
alex,9,477949,602859
alexand,5,477949,602859
alexandr,119,477949,602859
alexandra,2,477949,602859
alexandria,1,477949,602859
alfabetizacao,2,477949,602859
alfabetizar,3,477949,602859
alfac,1,477949,602859
alfafa,2,477949,602859
alfandega,1,477949,602859
alfandegar,1,477949,602859
alfandegario,2,477949,602859
alfer,3,477949,602859
alfi,1,477949,602859
alfinetar,3,477949,602859
alforriar,1,477949,602859
alfredo,4,477949,602859
algazarrar,1,477949,602859
algemar,4,477949,602859
algo,14,477949,602859
algodao,1,477949,602859
algomerarem,1,477949,602859
algoritmico,1,477949,602859
algoritmo,2,477949,602859
algozar,1,477949,602859
alguem,90,477949,602859
algum,226,477949,602859
alguma,24,477949,602859
algun,30,477949,602859
alhear,5,477949,602859
alheio,7,477949,602859
alho,1,477949,602859
ali,3,477949,602859
alia,8,477949,602859
aliada,2,477949,602859
aliado,10,477949,602859
alianca,7,477949,602859
aliancar,39,477949,602859
aliansc,1,477949,602859
aliar,134,477949,602859
aliarams,1,477949,602859
alibi,1,477949,602859
alic,9,477949,602859
alicea,2,477949,602859
alicercada,1,477949,602859
aliciar,1,477949,602859
alidada,1,477949,602859
aliem,1,477949,602859
alien,1,477949,602859
aliena,1,477949,602859
alienacao,2,477949,602859
alienalo,1,477949,602859
alienar,2,477949,602859
alimenta,1,477949,602859
alimentacao,46,477949,602859
alimentandos,1,477949,602859
alimentar,57,477949,602859
alimentars,1,477949,602859
alimenticio,2,477949,602859
alimento,107,477949,602859
alin,8,477949,602859
alinha,1,477949,602859
alinhada,1,477949,602859
alinhado,3,477949,602859
alinhamento,10,477949,602859
alinhar,30,477949,602859
alinhavar,1,477949,602859
aliquota,23,477949,602859
alisamento,1,477949,602859
alisar,1,477949,602859
alisson,1,477949,602859
alistamento,2,477949,602859
alitalia,3,477949,602859
aliviada,1,477949,602859
alivialo,1,477949,602859
aliviar,31,477949,602859
alivio,16,477949,602859
aljadaan,2,477949,602859
alkmaar,1,477949,602859
all,13,477949,602859
alla,1,477949,602859
allain,1,477949,602859
allan,4,477949,602859
allardyc,1,477949,602859
allegra,3,477949,602859
allend,3,477949,602859
allianc,2,477949,602859
allianz,1,477949,602859
allin,4,477949,602859
allinchalleng,2,477949,602859
allinchallengecom,2,477949,602859
almapbbdo,1,477949,602859
almarjani,6,477949,602859
almeida,31,477949,602859
almejada,1,477949,602859
almejar,3,477949,602859
almir,2,477949,602859
almirant,4,477949,602859
almo,7,477949,602859
almocar,29,477949,602859
almoco,1,477949,602859
almoxarifado,4,477949,602859
alo,2,477949,602859
alocacao,3,477949,602859
alocada,3,477949,602859
